dim,multigrid_converged,multigrid_time,multigrid_iterations,standard_converged,standard_time,standard_iterations,relaxed_converged,relaxed_time,relaxed_iterations
16,1,0.1103057861328125,16,1,0.040520429611206055,500,1,0.06871557235717773,600
32,1,0.1421816349029541,17,1,0.09593844413757324,1900,1,0.19713711738586426,2300
64,1,0.17595791816711426,18,1,0.32384634017944336,7300,1,0.6999320983886719,9000
128,1,0.20570874214172363,18,1,1.2451107501983643,29200,1,2.7457563877105713,36000
256,1,0.25330376625061035,18,1,12.839466571807861,116700,1,25.80567765235901,143800
512,1,0.3414022922515869,18,1,181.66542148590088,466800,0,322.15943121910095,499999
1024,1,0.7033443450927734,18,0,0.0,0,0,0.0,0
2048,1,2.06474232673645,18,0,0.0,0,0,0.0,0
16,1,0.10762453079223633,16,1,0.03843975067138672,500,1,0.06762003898620605,600
32,1,0.1402437686920166,17,1,0.09638524055480957,1900,1,0.19811058044433594,2300
64,1,0.17586803436279297,18,1,0.32009172439575195,7300,1,0.7001478672027588,9000
128,1,0.20063328742980957,18,1,1.2351365089416504,29200,1,2.7346339225769043,36000
256,1,0.23482847213745117,18,1,12.849872827529907,116700,1,25.812015295028687,143800
512,1,0.3408968448638916,18,1,181.67067885398865,466800,0,322.18043637275696,499999
1024,1,0.7105593681335449,18,0,0.0,0,0,0.0,0
2048,1,2.093928098678589,18,0,0.0,0,0,0.0,0
16,1,0.10675883293151855,16,1,0.038543701171875,500,1,0.06746053695678711,600
32,1,0.14133071899414062,17,1,0.09672093391418457,1900,1,0.1970667839050293,2300
64,1,0.17438030242919922,18,1,0.3200035095214844,7300,1,0.7001640796661377,9000
128,1,0.2021021842956543,18,1,1.2401318550109863,29200,1,2.764000654220581,36000
256,1,0.2517387866973877,18,1,12.833338737487793,116700,1,25.80154800415039,143800
512,1,0.34447598457336426,18,1,181.67888927459717,466800,0,322.1824281215668,499999
1024,1,0.7004280090332031,18,0,0.0,0,0,0.0,0
2048,1,2.0757322311401367,18,0,0.0,0,0,0.0,0
16,1,0.10919427871704102,16,1,0.038968563079833984,500,1,0.06844925880432129,600
32,1,0.1359424591064453,17,1,0.09727144241333008,1900,1,0.1978015899658203,2300
64,1,0.17635703086853027,18,1,0.3193340301513672,7300,1,0.6924152374267578,9000
128,1,0.20011234283447266,18,1,1.2550854682922363,29200,1,2.744767665863037,36000
256,1,0.23547911643981934,18,1,12.849046468734741,116700,1,25.80302667617798,143800
512,1,0.32422661781311035,18,1,181.6722755432129,466800,0,322.2045900821686,499999
1024,1,0.6951227188110352,18,0,0.0,0,0,0.0,0
2048,1,2.0557913780212402,18,0,0.0,0,0,0.0,0
16,1,0.10716605186462402,16,1,0.03847098350524902,500,1,0.0673987865447998,600
32,1,0.13748812675476074,17,1,0.0971686840057373,1900,1,0.20019316673278809,2300
64,1,0.18613958358764648,18,1,0.34996628761291504,7300,1,0.747180700302124,9000
128,1,0.20853495597839355,18,1,1.244929313659668,29200,1,2.7405128479003906,36000
256,1,0.24396634101867676,18,1,12.845556497573853,116700,1,25.80492925643921,143800
512,1,0.33168530464172363,18,1,181.67229676246643,466800,0,322.18215703964233,499999
1024,1,0.7128024101257324,18,0,0.0,0,0,0.0,0
2048,1,2.0803751945495605,18,0,0.0,0,0,0.0,0
